market_hash_name,cost_basis,best_field,best_value,distance_to_cost,last_value,method,n_samples
MP9 | Latte Rush (Field-Tested),33.69,median_7d,33.63,0.06,34.57,closest_to_cost_median_7d_iqr,29
Tec-9 | Jambiya (Minimal Wear),0.86,median_7d,1.18,0.32,1.38,closest_to_cost_median_7d_iqr,29
AUG | Death by Puppy (Minimal Wear),5.74,median_7d,6.30,0.56,6.47,closest_to_cost_median_7d_iqr,29
Desert Eagle | Kumicho Dragon (Minimal Wear),31.75,median_7d,32.54,0.79,33.10,closest_to_cost_median_7d_iqr,29
Galil AR | Chromatic Aberration (Minimal Wear),8.08,median_7d,9.09,1.01,9.30,closest_to_cost_median_7d_iqr,29
StatTrak SG 553 | Darkwing (Minimal Wear),1.92,median_7d,3.00,1.08,3.70,closest_to_cost_median_7d_iqr,29
XM1014 | Run Run Run (Factory New),3.85,median_7d,5.72,1.87,6.50,closest_to_cost_median_7d_iqr,29
The Elite Mr. Muhlik | Elite Crew,12.86,median_7d,14.85,1.99,14.85,closest_to_cost_median_7d_iqr,29
StatTrak AWP | Fever Dream (Minimal Wear),25.70,median_7d,28.14,2.44,28.98,closest_to_cost_median_7d_iqr,29
Broken Fang Gloves | Needle Point (Well-Worn),64.05,median_7d,67.13,3.08,67.39,closest_to_cost_median_7d_iqr,29
M4A4 | Temukau (Field-Tested),34.84,median_7d,38.09,3.25,39.32,closest_to_cost_median_7d_iqr,29
Special Agent Ava | FBI,22.17,median_7d,26.87,4.70,27.36,closest_to_cost_median_7d_iqr,29
StatTrak AK-47 | Nightwish (Minimal Wear),70.15,median_7d,76.87,6.72,78.23,closest_to_cost_median_7d_iqr,29
MP7 | Smoking Kills (Minimal Wear),15.34,median_7d,23.92,8.58,23.92,closest_to_cost_median_7d_iqr,29
Paracord Knife | Slaughter (Factory New),159.64,median_7d,169.96,10.32,163.91,closest_to_cost_median_7d_iqr,29
